#{"env_id": null, "t_start": 1524085027.8688931}
r,l,t
-1298.262097,99,2.426402
-820.43655,103,4.932045
-7614.460303,155,6.251788
-405.734776,84,7.451999
-2168.159758,84,8.649356
-3110.060362,109,9.913526
-2278.500438,75,11.096205
-1516.630756,80,11.241637
-1650.228955,85,12.442908
-1133.248492,72,13.626826
-1848.736239,86,14.830111
-1601.732243,83,16.032575
-1866.052576,60,16.142026
-983.53177,71,17.317286
-1175.838503,80,18.514834
-998.472754,77,19.710996
-753.984706,75,19.85828
-1168.858928,77,21.058625
-778.05317,69,22.245063
-890.105813,75,22.386587
-841.768488,84,23.596812
-533.921291,67,24.785202
-750.745295,80,26.035665
-872.811862,78,27.69931
-846.438333,91,27.868355
-1368.329785,103,30.251889
-840.739434,86,30.521795
-1349.898822,91,32.096332
-659.792919,66,33.57099
-2578.277119,95,34.996715
-1116.579306,92,36.393011
-938.083544,83,37.687919
-1302.870831,93,38.91794
-1093.71264,83,39.077374
-806.253192,95,40.516577
-881.037868,85,41.852062
-1033.945854,80,43.245189
-693.680086,80,44.758245
-537.430832,70,45.927813
-579.173032,76,46.065277
-906.58328,87,47.260989
-561.261786,95,48.487453
-1525.423083,95,50.001628
-524.452638,63,51.35303
-567.270269,80,51.530039
-317.953071,93,52.917785
-612.990288,79,54.276867
-678.729925,86,55.862429
-1694.406809,96,57.091078
-990.886533,79,58.290561
-1340.87361,93,59.521362
-1221.186187,93,60.730006
-1655.367654,97,61.960582
-1668.379009,96,63.326294
-573.738283,79,63.565543
-448.87118,94,65.395557
-2813.665807,82,66.947427
-220.637467,88,68.505052
-515.997503,72,70.016584
-2060.980606,98,71.608828
-1337.423199,87,73.162823
-616.508837,76,73.359796
-419.863234,89,74.745727
-1098.128385,99,76.141817
-1064.534779,95,77.424517
-1831.295472,119,78.745453
-669.986387,80,79.954932
-575.835245,89,81.172185
-2.33115,87,82.6601
-181.207617,95,84.467758
-194.766492,77,85.662508
-437.138666,93,87.18131
-84.496867,105,88.442405
-535.721651,76,88.6042
-168.646241,97,90.264675
-836.805413,93,91.654174
-2066.366955,96,92.901914
-1390.462519,106,94.15107
-810.500707,98,95.371744
-186.747104,101,97.063318
-1869.760767,109,98.479595
-42.535981,79,99.687382
-116.050301,75,100.880725
67.79296,93,102.11669
-644.355046,95,103.358092
-2159.186282,103,104.618558
58.520749,93,106.4861
-1067.640703,119,108.152141
-1663.322486,102,109.746099
-566.154481,95,111.092179
-696.058052,90,112.510708
-1292.967466,115,113.971344
-2092.512773,126,115.583004
-1813.609979,111,117.15034
-557.196467,98,118.420809
-398.264754,68,119.712584
-719.254578,87,120.993944
-162.475154,78,122.278653
-603.519033,88,123.660874
-759.140464,64,123.777923
-618.612017,92,125.114792
-743.870344,98,126.408386
-107.29332,82,127.660187
-192.536805,89,128.871627
-753.643457,77,130.063977
-842.077525,88,130.224496
-104.762163,77,131.431821
-736.240822,96,132.670901
-1023.097773,90,133.885538
-188.365239,68,135.072055
38.554354,80,136.278169
-264.541418,86,136.448075
70.64401,104,137.764314
224.754411,78,139.54017
370.93808,91,141.190407
-1809.8903,111,142.833117
38.201717,103,144.277904
41.212469,87,145.603574
71.149608,91,146.835259
-183.023459,78,148.029714
-227.395118,71,149.236381
-148.583724,86,149.398584
-360.708983,88,150.617048
-595.858651,119,151.897463
-128.716221,70,153.094881
-1292.537643,91,154.330296
923.029945,94,155.867033
-398.575904,93,157.156499
-546.289912,88,158.832498
-814.534427,76,160.39013
277.849437,80,160.602977
-4.771968,92,162.170295
-511.670581,77,163.708689
-305.690961,85,165.249031
-2155.336903,93,166.826947
-247.164464,87,168.627366
-22.195968,82,169.802654
101.015669,88,169.988741
-167.113234,76,171.298915
-952.819303,92,172.531245
135.146716,84,173.739577
-384.615759,73,174.934711
48.508399,83,176.348813
-310.667693,77,176.488669
-40.931824,83,177.765352
-1516.341939,95,179.033095
-343.022386,105,180.287219
-123.745257,76,181.484725
-180.621941,84,182.705114
-975.595466,91,183.912777
-155.134778,77,184.055654
-1257.48401,104,185.300922
-124.361744,77,186.501144
-1223.296021,90,187.738305
-586.329693,69,188.923228
-341.075005,88,190.146658
-111.263672,84,191.36774
-678.38286,93,191.544566
-492.095311,90,192.792223
-6.815524,98,194.278589
-285.539425,83,195.499567
80.174115,78,196.703587
-173.335298,105,197.96119
444.839484,103,199.211581
-400.320926,98,200.453899
-1654.025252,98,201.692728
-350.374128,81,202.881237
-276.271143,93,204.117144
-2015.533391,149,205.439653
-857.133019,100,206.676335
-331.573164,101,207.917927
-429.541407,81,209.120677
-194.717748,95,210.349617
-706.521999,76,211.552705
-53.777008,80,212.748221
-270.203643,105,213.994323
-390.348103,65,214.122496
-19.87153,83,215.350144
-145.737646,77,217.058913
-594.22939,106,218.654699
-490.876767,69,220.337485
206.612092,112,221.635869
-505.971579,76,221.78323
-852.385729,102,223.029855
