reference_action_mean,rollout/actions_mean,rollout/return,AI_success_rate,reference_perturbed_action_std,reference_Q_mean,rollout/episodes,reference_actor_Q_mean,total/steps,total/duration,AI_distance,reference_Q_std,param_noise_stddev,total/steps_per_second,total/epochs,obs_rms_mean,reference_perturbed_action_mean,rollout/actions_std,train/param_noise_distance,reference_action_std,reference_actor_Q_std,rollout/return_history,AI_return,rollout/Q_mean,obs_rms_std,total/episodes,train/loss_actor,rollout/episode_steps,train/loss_critic
0.06556925177574158,0.12338646501302719,-4595.180698991877,,0.9570440649986267,-253.9145965576172,14.0,-251.07247924804688,2000,27.90293574333191,14.012638761490319,217.21743774414062,0.03269941380439557,71.67704568426815,1,0.37154924869537354,0.18013235926628113,0.8503280878067017,0.19643353328108787,0.9906723499298096,216.94773864746094,-4595.180698991877,-4595.180698991877,-137.14907836914062,0.32999128103256226,14.0,281.2459716796875,131.42857142857142,411.4769287109375
0.17997609078884125,0.20922696590423584,-2904.5696729242277,,0.9743140339851379,-494.01495361328125,36.0,-487.63555908203125,4000,55.345232248306274,12.547088052070098,399.6927490234375,0.0314234939421342,72.27361486268606,2,0.3563489019870758,0.1863454282283783,0.9032456278800964,0.2003764995932579,0.975955605506897,397.279296875,-2904.5696729242277,-2904.5696729242277,-190.2570343017578,0.3104651868343353,36.0,423.3475036621094,109.5,380.8877868652344
0.1936217099428177,0.27607038617134094,-2228.7777697063666,,0.953136682510376,-693.7178955078125,60.0,-687.7935180664062,6000,83.93386769294739,11.513415936794809,508.4169921875,0.04151957869412384,71.48485069161367,3,0.34917521476745605,0.22129486501216888,0.9084011316299438,0.21023705780506133,0.9735346436500549,504.35369873046875,-2228.7777697063666,-2228.7777697063666,-222.02137756347656,0.2907840609550476,60.0,541.3968505859375,98.95,2576.950927734375
0.11384779214859009,0.3074357211589813,-1910.4275447721889,,0.972406268119812,-869.8006591796875,84.0,-862.5886840820312,8000,111.03064894676208,10.988165714076539,585.4219360351562,0.048684971322958605,72.05217726716077,4,0.34588077664375305,0.11387944966554642,0.9098966717720032,0.18936732184141875,0.9908850789070129,578.4605102539062,-1910.4275447721889,-1910.4275447721889,-263.3341979980469,0.2785440981388092,84.0,622.9951782226562,94.29761904761905,1740.4290771484375
-0.282997190952301,0.294504851102829,-1702.3427129655558,,0.895159125328064,-994.166748046875,110.0,-979.744873046875,10000,138.24727630615234,10.694295854173006,627.5684814453125,0.0314234939421342,72.33415563178785,5,0.34226372838020325,-0.33346542716026306,0.9203640818595886,0.203783371001482,0.9307729005813599,621.0311279296875,-1429.4852981462743,-1702.3427129655558,-298.9287109375,0.2703687846660614,110.0,665.774169921875,90.24545454545455,401.4765930175781
-0.3535471558570862,0.19723427295684814,-1648.1968317764665,,0.9196457266807556,-1025.5902099609375,133.0,-1009.4134521484375,12000,164.9936912059784,11.104613990716585,589.752685546875,0.03269941380439556,72.73005356925545,6,0.34174609184265137,-0.3249220848083496,0.9486762285232544,0.21237691149115562,0.9281516075134277,580.7684326171875,-1182.4123473982918,-1648.1968317764665,-317.53497314453125,0.27134814858436584,133.0,695.0997924804688,90.00751879699249,2370.4755859375
-0.41128331422805786,0.11904685944318771,-1722.4967915562581,,0.8928954601287842,-1077.384521484375,148.0,-1060.12353515625,14000,193.31009459495544,11.008145133215141,690.5354614257812,0.01873022676619508,72.42249831460866,7,0.34437552094459534,-0.4123927354812622,0.961583137512207,0.20930717051029205,0.8943459391593933,684.5060424804688,-1361.9581945779237,-1722.4967915562581,-344.8176574707031,0.27399155497550964,148.0,702.5237426757812,93.44594594594595,294.6504821777344
-0.2381739765405655,0.05741724744439125,-1810.8623937762209,,0.9500645399093628,-1105.7115478515625,165.0,-1089.0037841796875,16000,220.63311409950256,11.143059900059908,701.768798828125,0.0156587938752642,72.51857938597655,8,0.34832534193992615,-0.1877945065498352,0.9670748114585876,0.20213377773761748,0.9502210021018982,690.2352294921875,-1591.2907308401138,-1810.8623937762209,-373.9281311035156,0.27609947323799133,165.0,720.7408447265625,96.9030303030303,576.31103515625
-0.13917399942874908,0.03543555736541748,-1937.1602220806444,,0.9652639627456665,-1117.829833984375,176.0,-1099.3929443359375,18000,248.4313497543335,11.157206207869429,756.6505126953125,0.014460633428115275,72.45462385403322,9,0.3524543046951294,-0.06916828453540802,0.9664807915687561,0.20171125426888467,0.9646597504615784,746.7991333007812,-1891.4554911771538,-1937.1602220806444,-409.9434814453125,0.27724114060401917,176.0,697.0625,101.6534090909091,4907.921875
-0.11076981574296951,0.017070656642317772,-1975.3635937151143,,0.9556214809417725,-1110.6082763671875,191.0,-1095.275146484375,20000,276.6784522533417,11.268449383541281,831.741943359375,0.012580215599082718,72.2860773476025,10,0.3587642014026642,-0.14494851231575012,0.9652916193008423,0.19466651260852813,0.9671915173530579,828.3870239257812,-2104.3626171613937,-1975.3635937151143,-430.2756042480469,0.2791496813297272,191.0,689.9494018554688,104.47643979057591,1674.3201904296875
-0.07426615059375763,-1.4703924477998953e-07,-2027.6500643066806,,0.9455186724662781,-1069.58203125,200.0,-1048.7630615234375,22000,303.25572967529297,11.324888372240002,789.2052001953125,0.01161761804096316,72.54603243129554,11,0.3659743666648865,-0.07933100312948227,0.9617642164230347,0.19706408992409707,0.947547972202301,778.2109985351562,-2277.952061177787,-2027.6500643066806,-452.9623718261719,0.2882785201072693,200.0,662.0349731445312,109.755,1573.9368896484375
