rollout/episode_steps,AI_distance,rollout/actions_mean,reference_Q_mean,total/steps,AI_success_rate,rollout/actions_std,reference_perturbed_action_mean,total/steps_per_second,rollout/episodes,total/epochs,rollout/Q_mean,param_noise_stddev,reference_perturbed_action_std,total/episodes,rollout/return,train/loss_actor,reference_action_std,rollout/return_history,train/param_noise_distance,obs_rms_mean,AI_return,obs_rms_std,reference_Q_std,train/loss_critic,reference_actor_Q_mean,reference_action_mean,total/duration,reference_actor_Q_std
104.36842105263158,14.993324366966494,0.2295106202363968,-185.31686401367188,2000,,0.8791030645370483,0.5655241012573242,72.27657368010489,19.0,1,-113.76463317871094,0.15136711368692912,0.7851969003677368,19.0,-3226.0418565256673,224.59005737304688,0.8660182356834412,-3226.0418565256673,0.271707860751776,0.3486728072166443,-3226.0418565256673,0.3195161819458008,167.0581512451172,871.8172607421875,-182.41488647460938,0.49998804926872253,27.671483278274536,166.0141143798828
96.90243902439025,14.11660110212344,0.3471713364124298,-393.569580078125,4000,,0.8805726766586304,0.3960567116737366,73.56419670810311,41.0,2,-181.21615600585938,0.02575295069895359,0.8956630229949951,41.0,-2489.0146783920027,416.04766845703125,0.9132522344589233,-2489.0146783920027,0.1975480507314205,0.3393840789794922,-2489.0146783920027,0.322672575712204,305.8045349121094,810.8055419921875,-387.5662536621094,0.37440618872642517,54.374276876449585,305.4858703613281
101.79310344827586,13.062010039718775,0.3937838673591614,-639.2552490234375,6000,,0.8747828006744385,0.43669721484184265,73.14606753035999,58.0,3,-190.95816040039062,0.028447279136688076,0.881050169467926,58.0,-1750.6899826312779,512.6417236328125,0.8945947885513306,-1750.6899826312779,0.1914997060596943,0.36301663517951965,-1750.6899826312779,0.3214685618877411,418.0124206542969,1951.9541015625,-628.766845703125,0.41306427121162415,82.02764964103699,421.7628479003906
102.3896103896104,12.794523316689164,0.421406090259552,-839.7086181640625,8000,,0.8702608346939087,0.41698938608169556,73.42810636570923,77.0,4,-194.11709594726562,0.026798623766663403,0.8911653161048889,77.0,-1380.049471248271,530.2217407226562,0.8942257761955261,-1380.049471248271,0.1969623489677906,0.3800995945930481,-1380.049471248271,0.3223166763782501,441.1445617675781,2648.899658203125,-826.8704223632812,0.4221334457397461,108.95010638237,445.74884033203125
110.5505617977528,12.652346066369144,0.4459930658340454,-856.3453369140625,10000,,0.8588994741439819,0.23767390847206116,73.00800024917702,89.0,5,-196.2668914794922,0.019106704324195603,0.9479096531867981,89.0,-1419.9266481960342,453.07061767578125,0.9394490718841553,-1419.9266481960342,0.20277289763092995,0.3884119987487793,-1419.9266481960342,0.3128322958946228,467.4452209472656,2411.018798828125,-829.1112060546875,0.28629380464553833,136.97129034996033,474.149658203125
122.17525773195877,12.327378760260057,0.49297451972961426,-844.2275390625,12000,,0.8302559852600098,0.3963892459869385,71.98981481457511,97.0,6,-174.1339569091797,0.01662212523270047,0.8717907071113586,97.0,-1199.4112933854285,389.53094482421875,0.8840258717536926,-1199.4112933854285,0.20410081893205642,0.3913636803627014,-1199.4112933854285,0.30128607153892517,518.5663452148438,1151.476318359375,-819.336669921875,0.4082336127758026,166.69024682044983,527.3687744140625
131.10377358490567,12.040588347168317,0.5143489241600037,-754.4925537109375,14000,,0.8161531686782837,0.4405001699924469,72.37606746376544,106.0,7,-122.92510986328125,0.015973535632157008,0.8674846291542053,106.0,-914.337214130451,209.0512237548828,0.8263489603996277,-687.3499393845632,0.1919053353369236,0.39634767174720764,-914.337214130451,0.2935510277748108,544.0254516601562,1649.1451416015625,-727.2145385742188,0.5383362770080566,193.43410730361938,550.24365234375
139.2280701754386,11.928185831520342,0.5079773664474487,-679.7448120117188,16000,,0.8182291984558105,0.35655176639556885,72.97858564780645,114.0,8,-64.7257080078125,0.012833077932624282,0.8980875015258789,114.0,-699.3073862733609,35.01999282836914,0.8953176736831665,-394.53206793159495,0.2080468565225601,0.4014706015586853,-699.3073862733609,0.2893461585044861,560.22265625,2213.589111328125,-644.837158203125,0.34450551867485046,219.2423963546753,560.1190795898438
146.0569105691057,11.776827823140914,0.48128893971443176,-582.0093994140625,18000,,0.833296000957489,0.28208279609680176,73.36619404091384,123.0,9,-42.805904388427734,0.01161761804096316,0.9216840267181396,123.0,-676.6198182919263,-54.98297882080078,0.9010250568389893,-140.74306381898924,0.2085437947511673,0.3997581899166107,-676.6198182919263,0.2861629128456116,530.9287109375,1151.4127197265625,-544.0150146484375,0.3544614315032959,245.34460639953613,531.3433227539062
150.18796992481202,11.710029472940327,0.46468833088874817,-393.1561279296875,20000,,0.8404282927513123,0.5643072128295898,73.44201244292775,133.0,10,-40.86983871459961,0.010728675346037303,0.7935184240341187,133.0,-765.8695257604517,-157.56951904296875,0.8457704186439514,-49.30758765674493,0.2059221750497818,0.3974809944629669,-765.8695257604517,0.28470537066459656,568.5274658203125,2081.9189453125,-350.390869140625,0.4964214265346527,272.32369232177734,566.005859375
152.46153846153845,11.649214377859245,0.4622844457626343,-289.12994384765625,22000,,0.8407247066497803,0.5976279377937317,73.73445444208896,143.0,11,-33.31718063354492,0.01161761804096316,0.7668439745903015,143.0,-774.9623680407973,-215.66015625,0.8369709849357605,-97.75084450216609,0.18658971682190895,0.3979763984680176,-774.9623680407973,0.2839547395706177,583.910400390625,2978.23193359375,-255.30609130859375,0.514482855796814,298.3679769039154,582.214599609375
