#{"t_start": 1523345462.6363924, "env_id": null}
r,l,t
-1532.05054,79,2.761207
-12250.918627,288,8.118226
-1191.666089,71,9.752731
-1035.488698,79,11.410554
-1547.004205,84,13.073752
-1666.335157,72,13.22332
-1489.714258,127,14.96153
-1204.549197,112,18.187687
-1355.302072,78,18.352259
-1090.649039,72,19.992677
-839.92774,97,21.690148
-218.80836,112,23.416703
-1048.012134,105,25.134504
-1463.744479,77,26.778852
-965.366784,81,28.433218
-1232.549051,81,30.095455
-817.533698,101,31.79163
-1057.135544,101,33.505453
-938.700699,97,35.194145
-1282.997574,82,35.360517
-817.82972,87,37.391551
-24.057823,127,40.65494
-1052.788484,84,40.832876
-870.024125,73,42.475642
-725.267328,100,44.185954
-392.317205,102,45.887011
-1197.875091,85,47.582516
-686.628026,91,49.283783
-967.362409,79,50.944933
-157.965223,112,52.677379
-740.578729,112,54.401188
-774.654389,71,56.04636
-1424.999526,68,56.188715
-1631.329359,88,57.873113
-1373.109526,71,59.511172
-1280.203369,72,61.164143
-1049.227353,83,62.843616
-906.631571,102,64.558274
-893.677587,77,64.720637
-1016.658374,80,66.388468
-836.689477,90,68.06496
-1321.762303,88,69.724705
-948.881772,70,71.738345
-1335.277798,77,71.902137
-1279.051376,83,73.587984
-1266.857027,83,75.281991
-1084.29934,88,76.961847
-1307.200804,77,78.625131
-52.926183,108,80.357357
-1207.806033,71,80.509112
-1258.506763,74,82.171839
-675.464338,85,83.843229
-1083.961888,74,85.483666
-1214.932597,74,87.167749
-1070.529494,83,87.341925
-1110.671315,89,89.01789
-1066.408401,82,90.68243
-1181.181262,81,92.333748
-1973.866102,73,93.995732
-1811.886193,78,94.157455
-924.26662,107,95.877593
-1060.771728,83,97.88106
-1031.992905,81,99.537173
-909.290664,65,101.177923
-1037.35912,93,103.182054
1330.731027,113,105.070582
-1199.616603,83,107.078238
-729.251274,99,108.791378
-894.074233,70,108.941873
-1054.762106,78,110.97979
-1341.786686,70,112.68248
-1055.749565,94,114.383796
-919.669074,81,116.083597
-237.357564,119,117.811699
-1191.241909,69,117.993948
-683.128914,105,120.03441
-1715.677607,71,121.692206
-999.453097,67,123.470774
1123.737493,111,125.20749
-1076.464401,91,127.02461
-818.867939,113,129.274488
-1418.856086,89,130.987715
-1075.535239,95,132.685404
-1174.630095,68,134.325303
-453.796827,116,136.045222
-1267.29974,70,136.19138
-1361.160109,65,137.810445
-1016.203733,70,139.437863
-1284.71014,69,139.58031
-1106.611529,96,141.29685
-1053.698693,82,143.209203
-783.204936,62,144.824751
-1297.040378,76,146.47356
-844.473104,65,146.601464
-1019.218582,84,148.271412
-826.553586,71,149.920312
-1272.042251,82,151.587733
-1382.473109,67,151.72674
-553.118873,92,153.414152
-861.841274,61,155.041603
-1805.666547,89,156.749917
-1070.60856,101,158.456933
-190.639791,116,160.185886
-732.988722,76,161.839137
-647.215839,95,163.506653
-516.963025,111,165.296526
-767.212575,93,167.23816
-744.508236,99,168.95344
-748.250999,66,169.092507
-910.108053,92,170.770722
-854.83847,97,172.459047
-1340.743878,115,174.185778
-616.42282,94,175.886103
-1060.552068,87,177.859357
-1000.645253,80,179.502514
-1063.813393,85,181.156185
-1111.571063,82,182.899271
-924.321682,81,183.119198
-496.368274,108,185.222151
-833.665912,66,187.117071
-830.784768,72,188.775703
-507.876185,100,190.494197
-679.210919,69,192.151193
108.639425,111,194.094508
-1101.074771,81,194.263531
-803.303986,64,195.926904
-1069.278917,76,197.851298
-674.453585,87,199.640983
118.199814,110,201.377758
-1515.85086,75,203.391661
-781.257694,71,203.571036
-531.638101,93,205.401753
-985.622994,73,207.129277
-758.15512,74,208.802556
-826.942424,90,210.889611
-1007.500602,71,211.121712
-657.377144,68,212.88925
-677.429257,77,214.837405
487.262363,111,216.666391
-1290.639799,74,218.409072
-767.149657,107,220.148439
-1097.648919,92,221.826063
-1117.091501,98,223.520296
-914.369911,64,223.658988
-805.455744,91,225.519983
-880.429345,68,227.17241
-1400.217294,80,228.820984
-897.506783,63,228.949063
-471.344935,119,230.684448
-937.265777,64,232.322587
-654.158466,84,234.01829
-747.770673,65,235.647308
-1128.116834,65,235.786922
-727.759248,113,237.540142
386.958992,115,239.274947
-837.516553,75,240.944485
-1299.827278,87,242.647176
-890.691528,67,244.296343
-812.441646,94,246.466435
-1083.343048,72,246.71288
1020.595193,122,250.524493
-574.425402,60,250.853287
-762.850933,69,252.720159
-1135.771909,103,254.435316
-1149.581889,82,256.120413
-4818.443928,214,259.597503
-1008.818373,119,261.340403
-1123.439597,114,263.074199
-982.555229,69,264.718782
-1689.537424,109,266.442439
-1329.032667,71,268.099571
-1176.831087,75,269.769231
-1599.657067,101,271.493746
-1483.55213,105,273.833169
-201.726456,90,274.138476
-3380.941828,118,277.871126
-1325.448707,96,279.589773
-2341.269782,99,281.298267
-930.827931,82,281.46757
-1405.61921,96,283.177927
-1101.511605,82,285.365942
-1280.076343,87,287.432546
-2139.811172,103,289.161478
-685.196042,76,290.832096
-1295.527289,84,292.513187
-1187.049106,85,294.186544
-1418.002485,71,294.336917
-1288.569742,98,296.057878
-2060.977243,93,297.767127
-2345.928653,122,299.535368
-1447.043981,87,301.194927
-2113.679259,86,302.861174
-2043.066213,80,304.534278
-1781.180917,247,308.120274
-1919.272474,92,309.891651
-1028.920804,78,311.590112
-9442.362116,287,316.689515
-14571.502426,376,324.134066
-13940.125289,248,327.576344
-2101.550238,181,330.974151
-9523.688462,301,336.051768
-1773.3464,120,338.392929
-11930.326311,222,341.894356
-1949.124802,113,345.149759
-13827.068714,296,350.258013
-16769.551369,592,359.26591
-1663.645981,104,361.002501
-20523.809812,332,367.861932
-18488.22191,338,373.517729
-23053.642764,428,380.403038
-1721.313667,196,383.842067
-3463.177945,553,394.512345
-3564.045115,323,399.666316
-21278.535117,526,408.268571
-12082.879671,490,417.642497
-21182.936578,416,426.343781
-19279.464686,594,435.607789
-435.020286,124,438.82873
-10554.767787,376,444.135651
-6023.413719,272,449.345756
6080.274911,306,454.664208
232.193765,175,458.036917
1528.146747,262,463.391862
-3763.104918,669,473.783633
-17483.818955,350,480.724098
-1666.117124,122,482.55583
-7017.656456,257,487.704443
-2444.109249,129,489.480508
-8803.364889,273,495.098203
-2737.136346,181,496.974588
-3047.502007,213,502.200975
-2560.397649,356,507.465729
-1553.879842,116,509.222106
-1591.039262,128,512.519591
3262.696557,223,516.012181
-12372.19014,664,527.396642
-23828.685966,656,539.64976
-12584.690196,358,546.402529
-1034.771391,93,546.58671
-2976.058108,269,551.658071
-3790.412219,328,556.888425
-15436.51447,532,567.703499
-14289.856435,451,574.988547
-26836.979895,783,588.713853
-1804.409493,89,590.409965
-7201.736979,569,601.117654
588.944667,361,606.831927
-226.764451,151,610.192055
1694.134077,138,612.012332
4186.555653,256,617.08871
1643.054072,341,622.529993
-3912.749069,325,627.704278
-1705.588196,265,632.827936
1981.831633,375,639.971869
-7441.445621,377,647.364667
-12874.118939,632,657.754527
150.416672,353,663.021317
1648.174619,366,669.91507
-2945.875697,222,673.425875
-3128.731892,347,680.550846
-7040.845155,323,685.790315
-555.077886,101,687.513714
-5657.493763,323,692.688923
-7950.401777,577,702.917268
11647.850462,983,721.001809
-779.720482,103,722.729831
1202.054113,673,734.658401
-2728.499079,313,740.386993
-1177.035891,269,743.969063
-3533.206164,304,749.380231
-2034.54625,345,756.68318
101.426419,182,760.067451
4266.82944,369,765.311278
-446.290049,329,771.974298
-610.998624,719,784.455657
-14260.610884,598,795.10085
2547.033906,219,798.537474
-14416.974047,726,810.68131
14795.554143,369,817.964096
-137.528667,596,828.851456
1642.844209,312,834.205234
9126.068032,462,843.057112
1299.627206,258,846.665646
60.738323,449,855.570447
7248.429676,280,860.783164
4364.23771,352,866.060593
504.999939,174,869.465602
6570.450473,163,871.332844
5516.157169,274,876.459987
-7343.97964,403,883.670774
3629.710048,216,888.01876
6349.706863,189,891.641663
3652.686587,435,900.65123
163.166046,564,909.402579
