AI_return,rollout/Q_mean,rollout/actions_std,obs_rms_mean,reference_perturbed_action_mean,rollout/actions_mean,reference_Q_std,train/loss_critic,rollout/episode_steps,rollout/return,reference_Q_mean,reference_actor_Q_mean,total/steps,total/steps_per_second,total/episodes,total/epochs,param_noise_stddev,rollout/episodes,reference_actor_Q_std,AI_success_rate,reference_action_mean,total/duration,reference_perturbed_action_std,train/param_noise_distance,AI_distance,obs_rms_std,train/loss_actor,rollout/return_history,reference_action_std
-1000.9310517044242,-344.447265625,0.954318642616272,0.43831712007522583,0.40066903829574585,0.202164888381958,203.4282684326172,76.7928237915039,67.984520123839,-1000.9310517044242,-551.861328125,-546.2000732421875,22000,73.28475137114367,323.0,11,0.019106704324195603,323.0,203.62911987304688,,0.3984677791595459,300.19887614250183,0.9077955484390259,0.19560293674468995,11.04898122121074,0.2552368640899658,593.0472412109375,-881.626812434554,0.9105976223945618
-975.6494660636766,-357.070068359375,0.9505760669708252,0.4436261057853699,0.3935733437538147,0.22001641988754272,200.34185791015625,109.0647964477539,68.38285714285715,-975.6494660636766,-554.365966796875,-548.291259765625,24000,73.28406652337628,350.0,12,0.016294603698363365,350.0,200.92465209960938,,0.3993767201900482,327.49274349212646,0.9089663028717041,0.21536635302007198,10.991048346875472,0.25814369320869446,583.231201171875,-805.8265082366606,0.9125798940658569
-951.1558486651204,-367.6365661621094,0.9492896199226379,0.44705697894096375,0.34678229689598083,0.23025961220264435,200.1962127685547,69.8807144165039,68.6984126984127,-951.1558486651204,-548.0596923828125,-541.5263671875,26000,73.41857324802666,378.0,13,0.01662212523270047,378.0,201.9497833251953,,0.3336446285247803,354.13382267951965,0.9233992099761963,0.19863769829273223,10.90059055719859,0.2586539685726166,572.7294921875,-734.7712275230347,0.9319318532943726
-934.0680460453594,-376.8450012207031,0.9487598538398743,0.44912034273147583,0.2897575795650482,0.23677945137023926,200.79368591308594,73.34858703613281,68.9753086419753,-934.0680460453594,-553.415771484375,-547.1192626953125,28000,73.16254055430721,405.0,14,0.014460633428115275,405.0,202.593017578125,,0.30820682644844055,382.7095093727112,0.9464848041534424,0.22470436975359917,10.741773065879542,0.25773507356643677,564.5162963867188,-694.4571850634467,0.9415311217308044
-922.2164487176941,-386.0826110839844,0.9485394358634949,0.4509199559688568,0.3320193886756897,0.23913639783859253,208.18186950683594,88.11107635498047,69.14549653579677,-922.2164487176941,-543.6829833984375,-537.9989624023438,30000,73.2744199770822,433.0,15,0.016294603698363365,433.0,209.9996795654297,,0.2977967858314514,409.41982221603394,0.9326907992362976,0.2095132687687874,10.684388462026602,0.25660184025764465,558.182861328125,-683.3484785586711,0.9470934271812439
-907.0033135090919,-391.585693359375,0.9465750455856323,0.4540242850780487,0.28327006101608276,0.2457284778356552,209.05230712890625,463.7129211425781,69.54782608695652,-907.0033135090919,-550.6839599609375,-544.00048828125,32000,73.36119622187576,460.0,16,0.013896384493189945,460.0,210.6916046142578,,0.43170690536499023,436.1979036331177,0.9329751133918762,0.19945295676589012,10.663825483451546,0.25804755091667175,553.1629638671875,-697.877571055152,0.8796648383140564
-913.3794943917978,-391.4661560058594,0.9443680047988892,0.45902809500694275,0.3773525059223175,0.24858179688453674,207.37709045410156,111.51220703125,70.21532091097309,-913.3794943917978,-568.1701049804688,-561.5825805664062,34000,73.11939280891934,483.0,17,0.015350253774398782,483.0,208.67263793945312,,0.3318030834197998,464.99292039871216,0.9080010652542114,0.20419402852654456,10.642794484673763,0.2645307183265686,546.7879028320312,-779.4620278347664,0.9272859692573547
-935.7610580112885,-390.6910705566406,0.9430138468742371,0.4660806953907013,0.14194244146347046,0.24752357602119446,197.40394592285156,133.1920166015625,71.57171314741036,-935.7610580112885,-580.722412109375,-570.1439208984375,36000,73.32701551217647,502.0,18,0.018361167303396805,502.0,197.93052673339844,,0.09962374716997147,490.9513874053955,0.9384570121765137,0.21175313100218773,10.579833759467421,0.2735807001590729,543.363037109375,-935.8645347734736,0.9650470614433289
-1001.6442303241887,-394.9609069824219,0.9411483407020569,0.47825902700424194,-0.1349979192018509,0.24669913947582245,189.4855499267578,435.30633544921875,73.55165692007797,-1001.6442303241887,-561.7553100585938,-553.3911743164062,38000,73.2538132025197,513.0,19,0.017297050171870294,513.0,188.82725524902344,,-0.08815497905015945,518.7443265914917,0.9742097854614258,0.2082383292913437,10.59649120731057,0.29250162839889526,535.40283203125,-1296.261563664243,0.9878585338592529
-1023.6673546058798,-395.1603088378906,0.9429548382759094,0.48448798060417175,-0.1553424596786499,0.233854740858078,194.83529663085938,302.710205078125,76.26335877862596,-1023.6673546058798,-531.6861572265625,-521.8375244140625,40000,73.1652178670387,524.0,20,0.018730226766195082,524.0,197.40406799316406,,-0.1937732994556427,546.7078642845154,0.96161949634552,0.19670511178672315,10.581390349054582,0.2989552319049835,502.8890380859375,-1431.9130690444008,0.9633938074111938
-1027.1197299863622,-396.53466796875,0.9421597123146057,0.4961746037006378,-0.07173872739076614,0.23187358677387238,222.8584442138672,1855.4302978515625,78.57894736842105,-1027.1197299863622,-512.2232666015625,-500.6493225097656,42000,73.2813254783494,532.0,21,0.015973535632157008,532.0,229.36944580078125,,-0.10500757396221161,573.1337380409241,0.9816027879714966,0.20297692880034446,10.555135049894043,0.3120760917663574,484.82281494140625,-1476.0979889558168,0.9714064598083496
-953.3702343438465,-400.465576171875,0.9408984184265137,0.5064941048622131,-0.003884640522301197,0.22770458459854126,244.1645965576172,186.3319549560547,81.22820037105751,-953.3702343438465,-505.6933288574219,-491.7291259765625,44000,73.43925264309162,539.0,22,0.0156587938752642,539.0,251.1937255859375,,-0.05064331740140915,599.1346373558044,0.9769838452339172,0.2087993736565113,10.5446459185997,0.32089003920555115,456.0435485839844,-1100.6846170840995,0.9703474640846252
-969.5198635487025,-399.3758544921875,0.9398947358131409,0.5122169852256775,-0.13371741771697998,0.22443337738513947,248.3406219482422,264.8829040527344,83.95063985374772,-969.5198635487025,-457.74395751953125,-436.396728515625,46000,73.41181090738522,547.0,23,0.017644720880324885,547.0,250.88674926757812,0.0018281535648994515,-0.1418103277683258,626.602169752121,0.9741494655609131,0.21986548066139222,10.538423004984612,0.32511240243911743,405.96893310546875,-1210.1867950055164,0.9716368317604065
-989.4862242423575,-389.6140441894531,0.9388680458068848,0.5205037593841553,-0.21529962122440338,0.22477152943611145,248.58258056640625,492.4178771972656,86.1117117117117,-989.4862242423575,-392.37493896484375,-370.8490295410156,48000,73.4891384291921,555.0,24,0.015973535632157008,555.0,252.6949005126953,0.0018018018018018018,-0.19584888219833374,653.1577458381653,0.966992199420929,0.19553475320339203,10.53860309276502,0.32843175530433655,352.8843078613281,-1346.1828309536702,0.9657876491546631
-999.2444505646708,-381.1793212890625,0.9392786026000977,0.5280128121376038,-0.33413147926330566,0.2205231785774231,282.94384765625,468.9411315917969,88.88256227758008,-999.2444505646708,-326.50555419921875,-303.6027526855469,50000,73.170277546145,562.0,25,0.014751292160020392,562.0,283.10528564453125,0.0017793594306049821,-0.37949785590171814,683.3375747203827,0.9202889204025269,0.20225071772933007,10.538937970505474,0.33098500967025757,310.71185302734375,-1436.6728118853862,0.9041527509689331
-982.9671884825427,-372.41900634765625,0.9386106133460999,0.5325635075569153,-0.16830453276634216,0.21882915496826172,309.93609619140625,1188.694091796875,91.14762741652021,-982.9671884825427,-240.52398681640625,-216.05404663085938,52000,73.10035815580564,569.0,26,0.010728675346037303,569.0,308.0782470703125,0.0017574692442882249,-0.15315048396587372,711.350823879242,0.9348987936973572,0.1981219670176506,10.49110347826454,0.33138507604599,215.3333740234375,-1362.7803077969145,0.9479194283485413
-958.0377517441539,-351.3241882324219,0.9379218220710754,0.5408655405044556,-0.22640922665596008,0.2169470638036728,336.37188720703125,289.3978576660156,93.34375,-958.0377517441539,-182.50680541992188,-159.78346252441406,54000,73.13098156752578,576.0,27,0.010944321720492653,576.0,332.102294921875,0.001736111111111111,-0.2793772518634796,738.4011378288269,0.9280557632446289,0.20585104048252106,10.483145289272805,0.33607760071754456,167.34097290039062,-1242.046516596855,0.9284636378288269
-945.2946206747571,-333.8162536621094,0.9367273449897766,0.5411589741706848,-0.2339826077222824,0.21644410490989685,363.98883056640625,562.2881469726562,95.54280821917808,-945.2946206747571,-141.5118408203125,-117.69181823730469,56000,73.0646440150325,584.0,28,0.01208933992007461,584.0,358.5321960449219,0.0017123287671232876,-0.2481863647699356,766.4445745944977,0.948432207107544,0.19208791613578796,10.464703734114755,0.337565153837204,65.25348663330078,-1091.5271765623622,0.9442389607429504
-985.364132120851,-323.7616271972656,0.9354251027107239,0.5394738912582397,-0.24972134828567505,0.21555973589420319,372.3221740722656,2421.0126953125,98.07627118644068,-985.364132120851,-66.4964599609375,-37.56575012207031,58000,73.15916791338925,590.0,29,0.010310046129879225,590.0,361.9451904296875,0.001694915254237288,-0.26538988947868347,792.7919583320618,0.9388422966003418,0.20958469197154045,10.487868880772906,0.3483555018901825,-23.775297164916992,-1333.6610517214003,0.9378868341445923
-913.2505723666906,-296.1003723144531,0.9338363409042358,0.5425100326538086,-0.2567887008190155,0.21518060564994812,370.54217529296875,1191.7481689453125,100.04682274247492,-913.2505723666906,7.161714553833008,37.67497634887695,60000,73.10228187495866,598.0,30,0.010728675346037303,598.0,361.7578430175781,0.0033444816053511705,-0.25808316469192505,820.7678127288818,0.943093478679657,0.19742027387022973,10.413857085255522,0.3500894606113434,-120.77250671386719,-786.3040698103999,0.9437180757522583
-917.947060678013,-270.37530517578125,0.9330721497535706,0.5453262329101562,-0.2978186011314392,0.21225620806217194,399.5091247558594,1375.6943359375,102.04793388429752,-917.947060678013,76.9426498413086,106.35169219970703,62000,73.10913417780174,605.0,31,0.010106897490323717,605.0,389.916748046875,0.003305785123966942,-0.2199377566576004,848.0472474098206,0.9241542220115662,0.19851252913475037,10.403022841337958,0.3497629463672638,-197.8242950439453,-831.1742701941407,0.9355906844139099
-903.8793398086301,-252.88998413085938,0.9328832626342773,0.5485572218894958,-0.27227145433425903,0.210901141166687,423.8104553222656,1069.9373779296875,104.19444444444444,-903.8793398086301,127.10940551757812,157.877685546875,64000,72.99815416920136,612.0,32,0.010106897490323717,612.0,415.64593505859375,0.0032679738562091504,-0.18105150759220123,876.7344973087311,0.9389655590057373,0.20814719364047052,10.444438656905678,0.3517579734325409,-249.92001342773438,-425.73643929365556,0.950020968914032
-882.5504222613861,-226.826171875,0.9322654604911804,0.550221860408783,-0.28011396527290344,0.21106241643428802,471.32098388671875,1041.2080078125,106.05645161290323,-882.5504222613861,181.6644744873047,218.24880981445312,66000,72.99681548644539,620.0,33,0.010728675346037303,620.0,464.7239074707031,0.0032258064516129032,-0.2885412573814392,904.149031162262,0.9362632632255554,0.2124600824713707,10.384624190363187,0.35059449076652527,-317.9761047363281,-280.5275280793627,0.9345938563346863
-852.7207590494176,-199.6338348388672,0.931969165802002,0.5517066717147827,-0.2756207287311554,0.20872415602207184,531.4979858398438,1047.4124755859375,107.90793650793651,-852.7207590494176,277.7106628417969,312.7911071777344,68000,73.01193087022055,630.0,34,0.009149642450409314,630.0,525.8062133789062,0.0031746031746031746,-0.22567859292030334,931.3546319007874,0.9229831099510193,0.20465198457241057,10.308990366622325,0.3494377136230469,-430.9801025390625,58.97349404855464,0.9380521774291992
-881.8875287649553,-177.17315673828125,0.9316251873970032,0.5563957095146179,-0.2873234748840332,0.20526836812496185,591.7352294921875,1813.5291748046875,109.95597484276729,-881.8875287649553,355.3563232421875,392.1742858886719,70000,73.06249675094472,636.0,35,0.009149642450409314,636.0,588.31689453125,0.0031446540880503146,-0.289242148399353,958.0838749408722,0.9256717562675476,0.19524479985237123,10.32199034689388,0.35037633776664734,-464.47601318359375,-386.23748842027294,0.932197630405426
-885.4781731307123,-149.3358917236328,0.9304754137992859,0.5599715113639832,-0.17033866047859192,0.20485389232635498,662.4232177734375,1861.9180908203125,111.55607476635514,-885.4781731307123,433.1260986328125,475.50030517578125,72000,73.0501930120874,642.0,36,0.010106897490323717,642.0,658.250732421875,0.003115264797507788,-0.18136051297187805,985.6236791610718,0.9556229710578918,0.20007536366581916,10.29986542842781,0.34990471601486206,-590.209716796875,-536.1980741285776,0.9438782334327698
-864.5457122890393,-118.46499633789062,0.9297234416007996,0.5625650882720947,0.1269427090883255,0.20443794131278992,743.3883666992188,1591.9307861328125,113.79198767334361,-864.5457122890393,489.38818359375,530.4930419921875,74000,73.0522187220209,649.0,37,0.010106897490323717,649.0,739.5790405273438,0.0030816640986132513,0.048450857400894165,1012.9740245342255,0.9523288011550903,0.19797981947660445,10.287151596517665,0.35106131434440613,-632.4405517578125,-275.2158693900811,0.9689586162567139
-863.7504874772492,-83.31758880615234,0.9282020330429077,0.5657870173454285,-0.11521398276090622,0.20541132986545563,818.1699829101562,3085.173095703125,115.83358778625954,-863.7504874772492,554.67822265625,599.4228515625,76000,73.00609409232135,655.0,38,0.00896935834762211,655.0,810.700439453125,0.0030534351145038168,0.09043747186660767,1041.008986234665,0.9530689120292664,0.19431632339954377,10.262074299532417,0.3516230285167694,-712.83935546875,-165.91714843089784,0.9672494530677795
-883.403536788355,-65.41886138916016,0.926945149898529,0.5687929391860962,-0.12209305167198181,0.20480604469776154,884.2250366210938,4027.470947265625,117.51896813353567,-883.403536788355,595.3080444335938,642.3197631835938,78000,73.04550872717898,659.0,39,0.009521154623962158,659.0,881.8566284179688,0.0030349013657056147,-0.02173442579805851,1067.8274593353271,0.9637133479118347,0.19639657497406005,10.256820525090227,0.3536732792854309,-793.3988037109375,-275.7435787560545,0.9560508131980896
-894.3176691240827,-35.239112854003906,0.9256791472434998,0.5708425641059875,-0.03892480209469795,0.20422546565532684,972.5891723632812,2353.665771484375,119.93984962406014,-894.3176691240827,627.6658935546875,683.15283203125,80000,72.9597348752603,665.0,40,0.009149642450409314,665.0,971.0789184570312,0.0030075187969924814,-0.09168276190757751,1096.4952125549316,0.9654087424278259,0.20345721229910851,10.27075950444835,0.35359078645706177,-878.5279541015625,-360.15795711418605,0.9685118198394775
-896.8351372795199,2.2910802364349365,0.9247005581855774,0.573564887046814,-0.012734249234199524,0.20193788409233093,1017.0806884765625,5089.61865234375,121.72916666666667,-896.8351372795199,655.68017578125,717.6749877929688,82000,72.99732506293125,672.0,41,0.008619377074687717,672.0,1013.4461059570312,0.002976190476190476,-0.09859469532966614,1123.3288333415985,0.9707618355751038,0.19342182368040084,10.2744455398862,0.35373321175575256,-887.3072509765625,-446.3874066835739,0.9730567932128906
-870.8578490489203,35.6069450378418,0.9242333173751831,0.5740134716033936,-0.026711538434028625,0.2017798274755478,1036.519287109375,1817.56640625,123.15271659324523,-870.8578490489203,711.7191162109375,770.25,84000,72.92740869635148,681.0,42,0.008619377074687717,681.0,1028.6754150390625,0.002936857562408223,-0.0034176455810666084,1151.830313205719,0.9784656763076782,0.19785428524017334,10.224374407682648,0.3527480661869049,-939.14501953125,-499.0281624625103,0.9708128571510315
-870.087061383336,62.41682434082031,0.9232901334762573,0.5748386383056641,0.03630617633461952,0.200654998421669,1039.494873046875,1811.068115234375,124.26560232220609,-870.087061383336,744.4754638671875,801.9241943359375,86000,72.95153548432116,689.0,43,0.00795985011672278,689.0,1032.1207275390625,0.002902757619738752,0.016185978427529335,1178.8648371696472,0.9830672740936279,0.20274872049689294,10.209366143428744,0.35202160477638245,-936.1304931640625,-202.92158674296354,0.9779968857765198
-880.0608296122679,74.23599243164062,0.9221087098121643,0.5743788480758667,0.004933142568916082,0.20143592357635498,1069.3900146484375,3887.433349609375,126.23994252873563,-880.0608296122679,766.609375,817.644775390625,88000,72.9326187097058,696.0,44,0.008119843104068908,696.0,1062.2890625,0.004310344827586207,-0.05321316421031952,1206.5931754112244,0.9736704230308533,0.20613689601421356,10.187686542450695,0.35366708040237427,-968.2890625,-647.159596882283,0.9803200364112854
-870.8379708246572,97.19796752929688,0.9217365384101868,0.5759744048118591,0.01896078698337078,0.2007201462984085,1072.2205810546875,2897.69873046875,127.9985754985755,-870.8379708246572,768.840087890625,819.282470703125,90000,72.9636263666013,702.0,45,0.007498538875796335,702.0,1063.9991455078125,0.004273504273504274,0.04318247735500336,1233.4913227558136,0.9745981097221375,0.20643132627010347,10.187192775450859,0.35287317633628845,-1015.3021850585938,-518.2990401477913,0.9632207155227661
-881.3781374073446,112.38593292236328,0.9216508269309998,0.5764580368995667,-0.1049993485212326,0.1961764395236969,1066.64599609375,4423.62353515625,129.87994350282486,-881.3781374073446,807.39501953125,856.99267578125,92000,72.93320105084142,708.0,46,0.007498538875796335,708.0,1058.6241455078125,0.00423728813559322,-0.07370959967374802,1261.4282476902008,0.9684014916419983,0.20131498366594314,10.190644861389853,0.3551618456840515,-1032.6160888671875,-814.2152325402558,0.9760233759880066
-900.4119074988188,133.73922729492188,0.9207562804222107,0.5786669850349426,-0.05395518243312836,0.19450870156288147,1098.53662109375,7114.15185546875,131.74297752808988,-900.4119074988188,826.359130859375,876.53173828125,94000,72.98062704334338,712.0,47,0.007498538875796335,712.0,1091.58251953125,0.004213483146067416,-0.041491709649562836,1288.0130496025085,0.9803710579872131,0.20291598722338677,10.19500039429554,0.3571266531944275,-1143.8284912109375,-879.1912217627727,0.9814481735229492
-895.8301788465495,149.52012634277344,0.920320987701416,0.5789754986763,-0.14864473044872284,0.19345895946025848,1079.825927734375,3727.8740234375,133.20445062586927,-895.8301788465495,844.1821899414062,891.1351318359375,96000,72.87552438230865,719.0,48,0.007205948471980551,719.0,1067.9156494140625,0.004172461752433936,-0.18164785206317902,1317.314706325531,0.9553505182266235,0.19417813792824745,10.15336670225062,0.35618165135383606,-1116.4085693359375,-995.0498575702503,0.9593398571014404
-893.2202653440409,166.50843811035156,0.9198731184005737,0.5796828269958496,-0.10420764982700348,0.19250589609146118,1068.4207763671875,2889.890869140625,134.70385674931129,-893.2202653440409,867.536865234375,920.70166015625,98000,72.86603691478453,726.0,49,0.007803009623294559,726.0,1062.848876953125,0.004132231404958678,-0.10555939376354218,1344.933856010437,0.975799024105072,0.19989488035440445,10.11615371706997,0.35612234473228455,-1159.209228515625,-1136.8955645230335,0.9745621681213379
-870.4516449166064,186.8691864013672,0.9192010164260864,0.5814128518104553,-0.15056701004505157,0.19285637140274048,1083.7259521484375,3853.550537109375,136.22207084468664,-870.4516449166064,897.8648681640625,952.1566162109375,100000,72.8978427820605,734.0,50,0.008283051950460692,734.0,1078.798583984375,0.004087193460490463,-0.10747678577899933,1371.7827055454254,0.9710550904273987,0.20032617807388306,10.079853035145467,0.3562968969345093,-1146.0296630859375,-1005.7071054386465,0.9806097149848938
-831.2061337297974,220.442626953125,0.9187759757041931,0.5832144021987915,-0.12845255434513092,0.1914098560810089,1064.829345703125,4695.7109375,137.3684210526316,-831.2061337297974,945.289306640625,1000.4107666015625,102000,72.89826367966583,741.0,51,0.00795985011672278,741.0,1055.5841064453125,0.004048582995951417,-0.11349336802959442,1399.2102808952332,0.9713044762611389,0.19646203219890596,10.037659264857004,0.35594382882118225,-1196.9002685546875,-484.1546006011421,0.9810099005699158
