rollout/Q_mean,AI_success_rate,param_noise_stddev,rollout/return,total/episodes,reference_Q_std,reference_actor_Q_mean,total/epochs,total/steps,reference_action_std,reference_action_mean,train/loss_actor,total/duration,rollout/actions_mean,reference_actor_Q_std,obs_rms_std,reference_Q_mean,rollout/actions_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/return_history,rollout/episodes,obs_rms_mean,rollout/episode_steps,AI_distance,AI_return,train/loss_critic,total/steps_per_second,train/param_noise_distance
-54.653594970703125,,0.021962663920618616,-2412.1465691097255,17.0,197.636962890625,-117.50715637207031,1,2000,0.7299000024795532,0.6711694002151489,138.6875457763672,26.611347675323486,0.5518063902854919,196.03477478027344,0.4080834984779358,-119.51241302490234,0.7201038002967834,0.711903989315033,0.6836571097373962,-2412.1465691097255,17.0,0.5528033375740051,114.70588235294117,11.56726623865798,-2412.1465691097255,356.48602294921875,75.15590808858529,0.19190855100750923
-73.46543884277344,,0.022404113465423047,-1705.9546132524713,35.0,387.1725769042969,-247.52975463867188,2,4000,0.9644136428833008,0.23228232562541962,228.80970764160156,52.86072015762329,0.5192793011665344,384.9621887207031,0.3764791190624237,-252.03741455078125,0.7932864427566528,0.22561779618263245,0.9654495120048523,-1705.9546132524713,35.0,0.523915708065033,111.88571428571429,10.974373046722022,-1705.9546132524713,1475.6090087890625,75.670554394124,0.19165104806423186
1.6056301593780518,,0.0247480794341294,-982.3856692920235,52.0,521.076904296875,-416.13525390625,3,6000,0.9766333103179932,0.0776844248175621,202.41363525390625,80.7929790019989,0.49827471375465393,518.5366821289062,0.35509490966796875,-423.03582763671875,0.8259358406066895,0.035084500908851624,0.9684411287307739,-982.3856692920235,52.0,0.5611740946769714,114.46153846153847,10.44127250840129,-982.3856692920235,625.3895874023438,74.26387879386839,0.21888794064521788
42.639469146728516,,0.025752950698953586,-579.9283667702739,69.0,609.306396484375,-524.85888671875,4,8000,0.9537241458892822,0.220907062292099,154.8115692138672,107.11498618125916,0.4865531623363495,607.7008666992188,0.3396816849708557,-533.2738037109375,0.8421330451965332,0.2563208341598511,0.9449524879455566,-579.9283667702739,69.0,0.5799882411956787,114.69565217391305,10.166989168414894,-579.9283667702739,2838.70654296875,74.68609468391716,0.1853190129995346
69.0907974243164,,0.026270585008002553,-266.47277440360466,85.0,699.20166015625,-575.282958984375,5,10000,0.9535487294197083,0.2572847306728363,94.4387435913086,135.90776920318604,0.48215147852897644,697.0455932617188,0.3331514894962311,-586.4454345703125,0.8504369258880615,0.3027491569519043,0.9164081811904907,-266.47277440360466,85.0,0.5939463376998901,116.8,10.181533065208638,-266.47277440360466,714.5341186523438,73.57931087110782,0.1818462225049734
84.13748168945312,,0.02960235274322695,-107.42914620418996,100.0,700.3917236328125,-573.000732421875,6,12000,0.9575991630554199,0.2433941662311554,37.713985443115234,163.41956186294556,0.48047009110450745,695.9690551757812,0.32327723503112793,-585.4085693359375,0.8550565838813782,0.39837712049484253,0.889906644821167,-107.42914620418996,100.0,0.5978175401687622,118.79,9.762712712274563,-107.42914620418996,5883.619140625,73.43062154372922,0.21437441118061543
108.60348510742188,,0.030197360033365813,40.45756216630113,117.0,827.0487670898438,-550.974609375,7,14000,0.914947509765625,0.3624989092350006,-52.25420379638672,191.13858079910278,0.4790242314338684,820.005859375,0.3173392713069916,-568.6505737304688,0.8585573434829712,0.3735208511352539,0.8933747410774231,457.4002644832256,117.0,0.6042556762695312,119.16239316239316,9.762439619226331,40.45756216630113,2282.527587890625,73.24528591490785,0.1857827534340322
117.45117950439453,,0.03684651794543578,110.43587608464817,135.0,872.9189453125,-451.6490478515625,8,16000,0.9060963988304138,0.4162920117378235,-104.40725708007812,219.89861845970154,0.4785197079181671,860.2813720703125,0.31160664558410645,-480.00494384765625,0.8610461354255676,0.44797855615615845,0.8628836274147034,746.17254735264,135.0,0.6056495308876038,118.14814814814815,9.397307863883537,110.43587608464817,1221.9718017578125,72.7608027375222,0.19597371891140938
140.4187469482422,,0.03989949903626053,202.73528249427756,152.0,876.9136352539062,-361.1998291015625,9,18000,0.8723159432411194,0.4801766276359558,-175.99378967285156,248.3641390800476,0.47967812418937683,868.953369140625,0.30833059549331665,-390.1395263671875,0.8619693517684937,0.44145017862319946,0.8840168714523315,818.998177423154,152.0,0.6098462343215942,117.71710526315789,9.399774727827843,202.73528249427756,390.0733337402344,72.47423104910735,0.18994861284270884
166.57342529296875,,0.048684971322958605,280.71870344951105,168.0,887.1015014648438,-251.580078125,10,20000,0.8588413000106812,0.5055409669876099,-240.9287109375,275.6834318637848,0.48208242654800415,874.1605834960938,0.30557408928871155,-287.92010498046875,0.861640453338623,0.5334563255310059,0.8331353664398193,873.2061690791228,168.0,0.6133891344070435,118.29166666666667,9.447469001763952,280.71870344951105,606.8164672851562,72.5469784846628,0.1815073503414169
191.00242614746094,,0.04320544008261584,322.3560832209058,184.0,928.4301147460938,-133.08578491210938,11,22000,0.8935754895210266,0.4444305896759033,-269.886474609375,302.28265738487244,0.48454710841178894,918.5331420898438,0.3024797737598419,-167.95643615722656,0.8611548542976379,0.448589950799942,0.8779780864715576,836.0724876414668,184.0,0.6152017116546631,118.95108695652173,9.446235552914976,322.3560832209058,361.0908508300781,72.77956396945774,0.19828506195917725
