#{"t_start": 1524134916.8900814, "env_id": null}
r,l,t
-1441.401038,105,3.73305
-1447.693792,74,3.873134
-1400.095506,80,5.074955
-3247.152502,116,6.749929
-21430.058573,321,10.775816
-22387.566665,307,15.530908
-9190.770981,289,18.464073
-2367.177698,114,20.784355
-5749.392803,154,22.440842
-3069.801725,153,25.21566
-4063.583994,190,28.342958
-8057.604763,215,31.377512
-13355.061943,248,34.489047
-6118.849509,235,38.089578
-2366.80677,86,38.244236
-980.154222,58,39.594131
-8512.682063,214,42.188749
-8258.216386,268,45.828797
-7995.092788,186,48.296548
-14324.094269,279,51.418417
-11782.714737,245,55.311022
-5729.400977,213,58.070051
-1436.686543,79,59.359826
-1739.147248,77,60.584171
-1833.881705,83,60.738367
-1531.31714,81,61.976315
-1347.086982,82,63.247529
-1732.890672,90,64.471168
-1774.448117,95,65.697309
-1717.525122,87,67.07131
-1529.504842,87,68.300451
-1505.490705,84,68.46066
-962.114477,81,69.677267
-1530.214697,80,70.961622
-987.109377,79,72.34636
-1374.285876,90,73.599395
-1739.86011,87,74.824828
-1129.413813,72,74.962561
-1685.609452,81,76.177207
-1707.600958,80,77.401253
-836.054715,68,78.604269
-1349.590091,95,79.844438
-2145.804042,102,81.08618
-2189.959494,91,82.83025
-1489.487856,72,82.972479
-1758.69939,83,84.568649
-1471.382159,75,85.984994
-2481.370569,104,87.227079
-1338.648808,72,88.439231
-9451.644677,332,92.854187
-1313.011617,95,94.160207
-15070.397407,255,97.238421
-1277.141239,86,98.696173
-1293.725997,82,100.02388
-1615.349249,72,101.275903
-14920.598658,327,105.242002
-1367.667255,67,106.432872
-4436.376304,166,108.040658
-4570.846164,326,113.335372
-3475.859978,259,115.909961
-8432.411589,321,119.722605
-7188.525068,269,123.540879
-14869.939285,394,129.563012
-2507.805906,98,131.030225
-2854.318089,108,132.490101
-1497.298,111,133.944888
-1775.708764,114,135.280751
-2330.64041,106,136.54757
-2368.763602,105,138.06011
-2451.217048,102,140.351745
-2184.981061,88,140.513277
-2169.147803,110,141.763376
-2482.017121,104,144.48994
-1407.668399,109,146.256299
-2106.993464,100,147.901372
-1762.318944,103,149.449904
-3421.195777,111,150.72309
-1925.495467,103,152.52052
-2066.946567,102,154.237063
-1595.859234,113,155.888124
-1787.682361,110,157.509922
-1989.458574,95,158.961106
-2781.932224,107,160.411098
-2986.862467,114,161.878509
-2511.610122,120,163.256195
-2216.138954,98,164.515641
-2453.844851,107,166.05364
-1095.344674,108,169.071074
-1517.400707,104,170.335114
-1446.589988,95,171.585796
-1559.571103,99,172.83341
-3153.500342,111,174.09484
-3248.16391,121,175.368471
-2353.05017,105,176.611826
-2218.098184,93,177.83717
-1494.803721,111,179.106809
-1097.436209,115,180.381024
-2695.353853,97,181.621633
-2252.415623,90,182.858787
-2569.288774,108,184.1201
-2061.016799,99,185.780771
-2038.406512,103,187.258332
-2111.02041,103,188.527557
-1450.637874,105,189.784845
-995.632893,108,191.049367
-169.668099,113,192.31949
-887.477776,110,194.18622
-2008.318412,96,195.617034
-1998.657846,96,196.842322
-1422.44972,105,198.11255
-1828.769688,103,199.384739
-2090.627805,98,200.61364
-1977.872782,107,201.881821
-1428.890186,115,204.219088
-1550.777899,111,205.489658
-2990.049461,112,206.72238
-1779.701179,107,207.984831
-2300.034722,112,209.265478
-877.25748,106,210.547383
-1750.887069,105,211.801721
-2111.037227,95,213.078865
-1575.881613,110,214.45674
-2157.743448,100,215.704492
-2899.21012,110,216.973809
-1002.167818,113,218.248801
-1494.839883,114,220.941724
-2831.861963,103,222.187632
-1430.946403,109,223.460453
-2151.983583,102,224.947305
-1560.359399,110,226.618124
-508.925716,113,228.235628
-2669.841679,101,229.826251
-1238.074061,113,231.148693
-1060.257046,110,232.423365
-1956.35585,105,233.667986
-1147.608765,116,234.940707
-1501.151695,111,237.259006
-2398.34567,105,238.507202
-1855.371232,78,238.653162
-476.090994,113,239.90995
-1145.388123,112,242.208583
-1569.841208,77,242.621927
-1555.464307,108,243.93336
-1644.140686,91,245.738722
-1124.761806,83,247.527411
-1073.17668,83,248.731898
-2363.642042,148,250.137232
-4415.505812,181,252.6011
-2245.036207,146,254.997226
-1644.474329,166,256.765688
-779.54414,173,259.6467
-1291.303116,83,260.857805
-6191.447997,267,264.530191
-2731.560722,181,265.950239
-4375.587208,233,269.593466
-2285.793449,207,272.118457
-580.305003,176,274.797784
-1139.27626,134,276.105636
16.946931,134,277.429044
-1438.074439,181,279.897516
-1299.791264,197,282.383717
-291.615379,96,283.599631
-840.378557,190,286.23759
6102.670752,190,289.014214
2407.641883,185,291.728089
-696.935286,199,295.142985
-251.900547,105,296.717483
227.970301,103,298.15034
81.728732,102,299.587832
56.865024,92,301.097228
-1889.805385,239,303.662616
-456.336873,190,306.156523
-213.71095,95,307.530262
-3747.605144,214,310.404577
-361.091693,164,312.831113
-941.834694,93,314.053496
-29.945728,149,315.395297
802.930567,137,317.799602
505.566947,128,319.105752
-1996.13899,257,322.034137
3975.142725,204,324.593692
-361.637809,101,325.859908
-281.374722,89,327.353359
-261.225812,91,328.684079
-2188.280652,262,332.843312
1661.146146,195,335.343851
1562.084721,171,337.006048
9813.359712,274,340.761095
-128.622964,93,342.288621
-117.083657,89,343.726441
341.322528,164,346.146178
-3327.564872,341,350.514114
11810.496134,288,354.499158
919.580877,181,356.953203
12011.96699,237,360.264513
-4472.139263,451,366.855989
1293.600165,166,368.635232
723.775571,199,371.87933
1602.329104,170,374.725314
5118.860197,234,377.32144
4515.346208,180,379.781216
-772.375969,152,382.63374
7149.362192,222,385.175858
1407.524132,200,387.669541
-412.346565,165,390.105729
4851.624345,340,394.56772
-9918.714838,310,398.348581
5635.075402,317,402.569052
8777.169906,269,406.352886
642.034475,200,409.153888
-728.351577,365,414.081183
1885.378482,170,415.460767
-5120.129051,268,419.172942
6222.990496,195,421.678794
-2821.15784,161,424.102656
1555.612806,201,427.170971
1494.047525,174,428.800508
3785.763457,219,431.66285
-1312.653385,159,434.122736
3853.996265,228,437.008598
507.659822,227,440.640799
2999.595606,234,443.202025
-109.13073,202,445.704168
-2423.60248,263,449.412913
4245.656728,238,452.020976
3982.292525,251,454.794523
410.416826,174,457.244331
4764.651261,193,459.704775
3057.448796,162,462.342837
-1129.958976,116,463.605619
4664.879014,208,466.131374
3454.154793,207,468.677312
188.550851,239,471.249953
76.598654,133,473.653177
-1263.105479,122,474.949701
6045.804911,255,478.596308
3533.496795,182,480.184212
2892.65477,206,483.074295
3812.40044,199,485.785408
-539.099104,168,488.515268
7074.647066,275,492.968952
6692.641001,381,499.165624
2436.003902,148,500.678375
2039.38334,142,503.036965
1500.023671,173,504.420419
3916.084876,280,508.484888
6592.790222,220,510.997875
2250.255345,181,513.468143
4414.953771,413,519.865534
3873.313699,244,524.188313
-110.360877,163,525.649596
-748.150354,132,528.865113
10626.418881,434,534.602948
3903.781118,199,537.473313
10447.290482,292,541.533136
2308.086455,170,544.183049
9769.537066,285,546.963626
8229.79338,234,551.401584
6865.770226,229,554.252573
3442.758921,222,556.846482
2963.399496,177,559.426619
805.677009,233,562.548769
5363.252576,176,565.320893
-408.632416,117,566.778549
747.224428,191,569.986045
4867.901064,252,574.686055
67.223051,197,577.180017
5368.385703,198,579.653445
6271.695513,216,582.147569
7511.797396,255,584.761482
965.165927,169,587.733693
4211.849983,201,590.800031
-3996.077772,399,596.468851
555.931904,161,599.150982
4539.615718,218,602.152329
-827.386495,135,603.465949
3624.756894,291,607.886653
2648.314544,162,610.814768
1245.678191,244,613.759649
4092.37682,343,619.461914
2473.28665,206,621.967644
1586.590423,187,625.143919
