obs_rms_std,reference_action_std,reference_Q_std,train/loss_actor,rollout/episodes,total/duration,reference_action_mean,reference_perturbed_action_mean,rollout/return_history,reference_actor_Q_std,total/steps,total/epochs,AI_distance,rollout/episode_steps,obs_rms_mean,rollout/actions_std,param_noise_stddev,reference_actor_Q_mean,AI_return,rollout/Q_mean,reference_perturbed_action_std,rollout/actions_mean,AI_success_rate,train/loss_critic,total/episodes,rollout/return,total/steps_per_second,train/param_noise_distance,reference_Q_mean
0.31949102878570557,0.9457228779792786,255.474853515625,317.3832092285156,11.0,27.960886240005493,-0.2916477918624878,-0.25049781799316406,-6890.426843399077,254.90594482421875,2000,1,14.996310413279007,173.0,0.27608710527420044,0.8639391660690308,0.025752950698953586,-357.9252624511719,-6890.426843399077,-140.51942443847656,0.9364588856697083,-0.2574029266834259,,1030.9110107421875,11.0,-6890.426843399077,71.52849100821659,0.21728455305099487,-359.86761474609375
0.31411728262901306,0.8644123077392578,480.2606506347656,643.1124877929688,21.0,54.6405303478241,-0.4569925367832184,-0.2904067039489746,-7502.189177489929,479.7804870605469,4000,2,16.203635472764333,187.47619047619048,0.28838422894477844,0.9050448536872864,0.026798623766663403,-680.9546508789062,-7502.189177489929,-310.6482849121094,0.9418664574623108,-0.20912940800189972,,2237.9248046875,21.0,-7502.189177489929,73.20573161602354,0.20700434654951094,-684.6182861328125
0.31314173340797424,0.9345277547836304,622.1472778320312,762.8195190429688,43.0,80.73661398887634,-0.33678877353668213,-0.3367505967617035,-4531.883962491068,622.155517578125,6000,3,13.949278305575913,137.4418604651163,0.30223724246025085,0.9122720956802368,0.035408779508197145,-968.2418212890625,-4531.883962491068,-303.6805725097656,0.9257718920707703,-0.2517576217651367,,402.78387451171875,43.0,-4531.883962491068,74.31572496744367,0.20528889298439026,-975.672607421875
0.3342769145965576,0.8636464476585388,722.3975219726562,870.4697875976562,58.0,108.74558138847351,-0.4414113759994507,-0.5245398283004761,-4419.766742564575,719.303955078125,8000,4,13.85722123378168,136.01724137931035,0.32281145453453064,0.9230510592460632,0.01988251313764228,-1145.5677490234375,-4419.766742564575,-363.75811767578125,0.8205537796020508,-0.24200361967086792,,791.207763671875,58.0,-4419.766742564575,73.56620745280195,0.21195693626999856,-1154.220458984375
0.3951795995235443,0.921831488609314,796.3267211914062,934.4103393554688,68.0,135.7740354537964,-0.3415716886520386,-0.3164229691028595,-4497.7915341579455,791.6051635742188,10000,5,14.121479556532591,146.98529411764707,0.3631320595741272,0.9225099086761475,0.02152991267583435,-1267.763671875,-4497.7915341579455,-410.02496337890625,0.9210137128829956,-0.2510773539543152,,2571.4091796875,68.0,-4497.7915341579455,73.65178450045391,0.1895587210357189,-1290.7554931640625
0.38567933440208435,0.8570718765258789,928.2528686523438,904.6207275390625,87.0,165.72573804855347,-0.49397167563438416,-0.4967025816440582,-4005.976532901276,921.055908203125,12000,6,13.360722005716674,137.88505747126436,0.363849014043808,0.9002179503440857,0.018730226766195082,-1408.8453369140625,-4005.976532901276,-446.8521728515625,0.8493569493293762,-0.3318042755126953,,1075.526123046875,87.0,-4005.976532901276,72.40878901069853,0.1972952262312174,-1431.8690185546875
0.37684664130210876,0.8799020648002625,1028.5208740234375,912.0120849609375,106.0,191.5563943386078,-0.45590803027153015,-0.4096534550189972,-3326.933901316268,1020.5711059570312,14000,7,13.123188948285526,131.9245283018868,0.36839741468429565,0.8813151121139526,0.017297050171870294,-1473.0250244140625,-3623.088284969486,-478.6944885253906,0.9009734988212585,-0.3887874186038971,,5216.5439453125,106.0,-3623.088284969486,73.0855268410026,0.19940086260437964,-1495.4134521484375
0.37012630701065063,0.8605539798736572,1108.24951171875,900.68994140625,125.0,217.59050703048706,-0.49239563941955566,-0.4687795042991638,-2504.0008125684863,1099.2105712890625,16000,8,12.839744941262557,127.96,0.37307077646255493,0.8685562610626221,0.019106704324195603,-1560.741943359375,-3349.48136365196,-506.5802307128906,0.8637829422950745,-0.42425116896629333,,1009.2406005859375,125.0,-3349.48136365196,73.5326196825223,0.20270657703280448,-1584.5234375
0.366351455450058,0.9538748860359192,1164.55517578125,886.7771606445312,144.0,245.29034304618835,-0.249112069606781,-0.282274454832077,-2518.2104883701554,1155.7578125,18000,9,12.711031426070592,124.90277777777777,0.37928757071495056,0.8674401044845581,0.015973535632157008,-1562.5750732421875,-3117.2362411010217,-527.4072265625,0.9417570233345032,-0.4325089752674103,,1007.9483032226562,144.0,-3117.2362411010217,73.38242417725587,0.2114739626646042,-1587.36376953125
0.36867180466651917,0.9332149624824524,1185.2587890625,938.0755615234375,156.0,271.42126059532166,-0.31341126561164856,-0.27749788761138916,-2288.6142471650646,1175.4307861328125,20000,10,12.490254773574208,127.80128205128206,0.39015161991119385,0.8765310049057007,0.01185113216358652,-1599.718505859375,-3073.1016168351007,-535.5665283203125,0.9343346953392029,-0.41186437010765076,,2163.327392578125,156.0,-3073.1016168351007,73.68619523810703,0.20161302924156188,-1628.118896484375
