#{"env_id": null, "t_start": 1524168845.3102183}
r,l,t
-2646.914932,110,3.725817
-1563.364036,82,3.879062
-845.514166,83,5.083728
-17852.81284,368,10.047585
-2188.213823,125,11.324314
-10038.843954,273,14.974081
-2248.359958,134,16.295403
-1843.886997,124,17.739688
-1507.407475,81,18.98034
-1627.607738,86,20.246964
-2663.310095,132,21.609164
-21750.313659,329,26.391434
-2155.071438,108,28.581814
-6841.199891,166,31.006768
-2609.699366,109,32.287454
-4184.286098,151,33.755723
-5070.538602,178,36.307015
-6790.01056,170,38.842864
-8508.958035,190,40.598472
-8504.673051,183,43.16133
-4456.485124,151,45.568857
-7997.942904,197,48.035281
-7794.734423,177,51.052641
-5860.312798,174,52.934022
-6958.436519,199,55.614092
-484.773648,81,56.975683
-4743.61972,159,59.622129
-2950.778261,151,60.960136
-486.455369,77,62.325073
-577.177414,78,63.642231
-8406.339619,192,66.321404
-1821.636472,93,67.573199
-852.900758,77,67.730214
-2750.972941,168,70.327037
-8993.500018,213,72.986358
-487.655445,78,74.210692
-1157.539022,88,75.428103
-7837.789677,192,77.893961
-379.04995,86,79.100414
-1193.074266,94,80.361295
-1232.654924,88,80.531049
-1617.347757,93,81.941102
-1951.10426,167,84.33327
-4346.557224,193,86.782036
-171.976196,95,88.010607
-3763.21775,170,90.41062
-686.175807,94,91.648005
-711.675995,89,91.815931
-4895.223495,143,94.67008
-72.028855,88,96.102496
-5456.398279,207,99.472633
-8377.89601,178,102.295752
-4359.16523,252,104.962728
-489.357397,80,106.205387
-766.051054,79,107.439823
-1679.484307,86,108.907258
-970.163044,77,109.049987
-654.003382,80,110.248982
-553.187896,81,111.447692
-5153.949119,181,113.879044
-932.86137,74,115.075181
-985.680661,83,115.279922
-254.096839,86,116.518048
-964.627391,122,117.955657
-1326.658914,110,120.743843
-3283.711994,192,122.368012
-3238.887823,188,124.874727
-4437.043707,154,127.260902
-1252.435862,99,128.491183
-3487.859809,129,129.795922
-515.690548,124,131.090111
-1293.463649,82,132.28664
-665.362406,100,133.503742
-4269.068043,153,136.100043
-3745.459822,128,137.400184
-4613.648783,150,139.801145
256.85694,179,141.166009
2342.572854,189,143.64471
-2978.386281,124,145.21634
2954.088121,213,148.953719
