total/steps,reference_Q_std,rollout/return,reference_Q_mean,total/epochs,train/loss_critic,obs_rms_std,obs_rms_mean,rollout/episodes,AI_return,reference_perturbed_action_mean,total/steps_per_second,train/param_noise_distance,reference_action_std,reference_perturbed_action_std,rollout/actions_mean,total/duration,rollout/return_history,train/loss_actor,reference_actor_Q_mean,AI_distance,rollout/Q_mean,total/episodes,param_noise_stddev,reference_actor_Q_std,reference_action_mean,rollout/actions_std,AI_success_rate,rollout/episode_steps
2000,183.763671875,-5564.712472752537,-258.5016174316406,1,312.7569580078125,0.38649895787239075,0.32145875692367554,12.0,-5564.712472752537,-0.44824376702308655,75.79103576836371,0.22158462569117546,0.8920239210128784,0.8865715861320496,-0.198913112282753,26.38834500312805,-5564.712472752537,226.77365112304688,-257.0835876464844,15.084596354226974,-108.25939178466797,12.0,0.041519578694123864,183.23001098632812,-0.4426039457321167,0.8774600028991699,,160.58333333333334
4000,371.8863830566406,-5731.26924842531,-517.56640625,2,822.4432983398438,0.335670530796051,0.31361985206604004,24.0,-5731.26924842531,-0.39572519063949585,74.94923278986941,0.204864908978343,0.9134834408760071,0.9091173410415649,-0.31082966923713684,53.3694589138031,-5731.26924842531,506.64031982421875,-513.9722290039062,14.262302965764846,-224.79583740234375,24.0,0.022854436146078055,370.338134765625,-0.39037397503852844,0.8893227577209473,,161.70833333333334
6000,516.5853881835938,-4606.45892644601,-746.5707397460938,3,406.3121337890625,0.3350302278995514,0.3382731080055237,41.0,-4606.45892644601,-0.18124526739120483,75.29239546723205,0.19823714189231395,0.9750391244888306,0.9643353819847107,-0.27562299370765686,79.68932271003723,-4606.45892644601,698.2672119140625,-740.50830078125,13.14643418657519,-295.49517822265625,41.0,0.0247480794341294,515.35107421875,-0.11589840054512024,0.9143756628036499,,146.21951219512195
8000,621.9546508789062,-4118.7089325934,-943.7933959960938,4,3785.932861328125,0.3403981626033783,0.364982932806015,55.0,-4118.7089325934,0.011520301923155785,74.90910489650074,0.2042496158182621,0.9733100533485413,0.982099711894989,-0.21644479036331177,106.79609656333923,-4118.7089325934,842.4204711914062,-932.566162109375,13.177016791935928,-362.7914733886719,55.0,0.02068982289990824,620.6001586914062,0.02653493545949459,0.9366863965988159,,144.05454545454546
10000,704.6719970703125,-3536.6871234837554,-1091.6729736328125,5,205.60140991210938,0.33817508816719055,0.38107380270957947,73.0,-3536.6871234837554,-0.04372131824493408,75.32357079991097,0.19970579981803893,0.9841817021369934,0.9749161005020142,-0.1714687943458557,132.76056742668152,-3536.6871234837554,901.35986328125,-1079.870361328125,12.710156074108681,-419.7897644042969,73.0,0.019106704324195603,703.288330078125,-0.03236126899719238,0.9493341445922852,,136.58904109589042
12000,716.7993774414062,-3330.5508065457534,-1201.2705078125,6,964.7333374023438,0.3364427983760834,0.3931506872177124,86.0,-3330.5508065457534,-0.08632487803697586,75.12812601751487,0.19849402502179145,0.9738226532936096,0.9768445491790771,-0.19623586535453796,159.727130651474,-3330.5508065457534,970.5804443359375,-1182.9464111328125,12.527403057573382,-470.3646240234375,86.0,0.01662212523270047,713.208251953125,-0.09280504286289215,0.9471150040626526,,138.54651162790697
14000,706.067626953125,-3190.719281681055,-1266.79150390625,7,391.6976623535156,0.34921905398368835,0.4091044068336487,98.0,-3190.719281681055,0.06856761872768402,75.03076842255251,0.19637883365154266,0.9838223457336426,0.9753993153572083,-0.20353485643863678,186.59011888504028,-3190.719281681055,994.1534423828125,-1245.42626953125,12.556138616301329,-492.19805908203125,98.0,0.012833077932624282,700.4364624023438,0.03355935961008072,0.9456638693809509,,141.20408163265307
16000,685.4561157226562,-3030.3498518283172,-1331.5557861328125,8,627.5533447265625,0.35580161213874817,0.42362940311431885,109.0,-3030.3498518283172,0.05165625363588333,74.30823158115344,0.2014512874186039,0.9755098223686218,0.9770392775535583,-0.17364490032196045,215.3193483352661,-2895.7281566816087,927.71728515625,-1306.1708984375,12.146116750059305,-502.9512634277344,109.0,0.01161761804096316,676.2376098632812,0.09668523818254471,0.9490061402320862,,145.14678899082568
18000,615.2138061523438,-3110.2215276055367,-1388.9962158203125,9,784.986572265625,0.3914986252784729,0.45118486881256104,115.0,-3110.2215276055367,0.2617300748825073,74.50485565438863,0.19649066805839538,0.9676177501678467,0.9314231872558594,-0.13048695027828217,241.59499192237854,-2792.929553067059,910.1465454101562,-1361.9073486328125,12.191417506414437,-490.3268737792969,115.0,0.011388705069074755,604.58935546875,0.15897496044635773,0.9520811438560486,,156.2608695652174
20000,608.0889892578125,-2994.2808883630714,-1325.486328125,10,1161.4979248046875,0.39946675300598145,0.4721135199069977,121.0,-2994.2808883630714,0.18469129502773285,74.09115002265423,0.20022206291556358,0.972221851348877,0.9587234854698181,-0.0968468114733696,269.9377725124359,-2464.105156541416,787.302490234375,-1297.6173095703125,12.150480699639274,-464.6731872558594,121.0,0.010728675346037303,597.1268310546875,0.14195668697357178,0.9533804059028625,,163.39669421487602
