reference_Q_mean,reference_action_std,total/steps,obs_rms_mean,rollout/return_history,rollout/return,train/param_noise_distance,total/steps_per_second,total/epochs,AI_success_rate,reference_perturbed_action_std,obs_rms_std,AI_return,reference_actor_Q_std,reference_Q_std,rollout/actions_std,reference_perturbed_action_mean,total/episodes,rollout/episode_steps,rollout/episodes,train/loss_actor,reference_actor_Q_mean,reference_action_mean,total/duration,rollout/Q_mean,rollout/actions_mean,param_noise_stddev,AI_distance,train/loss_critic
-152.52044677734375,0.8742313981056213,2000,0.5046474933624268,-2428.4054574297916,-2428.4054574297916,0.1920103158056736,76.18973505650251,1,,0.8509557843208313,0.3686263859272003,-2428.4054574297916,192.45875549316406,192.42062377929688,0.7854132652282715,0.43729454278945923,16.0,114.5,16.0,140.72581481933594,-150.62490844726562,0.4334483742713928,26.250255346298218,-57.044960021972656,0.416318416595459,0.026270585008002553,11.342582186223783,182.8103485107422
-280.25347900390625,0.957195520401001,4000,0.5497747659683228,-1831.730112782209,-1831.730112782209,0.19843254975974559,73.2862073748092,2,,0.9185677170753479,0.3459171652793884,-1831.730112782209,341.5252990722656,341.9073486328125,0.8110464811325073,0.33962076902389526,30.0,129.6,30.0,212.65203857421875,-274.4464111328125,0.2761707305908203,54.58052945137024,-54.40678787231445,0.47222191095352173,0.03989949903626053,10.34268406842046,297.3566589355469
-385.72882080078125,0.9833672642707825,6000,0.5755466818809509,-850.1271376070125,-850.1271376070125,0.1967115069925785,74.01431795612822,3,,0.9653254151344299,0.3326052129268646,-850.1271376070125,480.5589294433594,482.3746032714844,0.8342676758766174,0.09494088590145111,48.0,124.10416666666667,48.0,165.22605895996094,-374.32891845703125,0.08496662229299545,81.06539607048035,-21.959999084472656,0.47200465202331543,0.0320551061703711,9.630681838127257,434.36370849609375
-434.8080749511719,0.985996663570404,8000,0.5872535705566406,-464.1058874504907,-464.1058874504907,0.2024868243187666,74.80672095200616,4,,0.9602546691894531,0.32172906398773193,-464.1058874504907,588.8165283203125,591.1702270507812,0.8484300374984741,0.09405944496393204,66.0,120.78787878787878,66.0,98.28202056884766,-417.8575439453125,0.0500355027616024,106.94226264953613,5.800449371337891,0.46652787923812866,0.030804326970036468,9.291154678263952,310.716064453125
-456.3984680175781,0.9878663420677185,10000,0.5956608653068542,-218.41853189132777,-218.41853189132777,0.20328852653503418,74.87879516504066,5,,0.9647302627563477,0.3126385807991028,-218.41853189132777,687.1099853515625,688.751953125,0.8569065928459167,0.12297913432121277,83.0,119.60240963855422,83.0,30.374422073364258,-437.58575439453125,0.02767394483089447,133.54915738105774,41.372196197509766,0.4631890654563904,0.029019069447335507,9.119822171327892,330.6967468261719
-446.0848693847656,0.9821637272834778,12000,0.6012969613075256,-12.5000119896161,-39.149827339220536,0.2000605158135295,74.04634483268518,6,,0.9762974381446838,0.30934348702430725,-39.149827339220536,759.6973876953125,761.4093627929688,0.8619383573532104,0.10233638435602188,101.0,118.60396039603961,101.0,-30.148820877075195,-424.5683898925781,0.09485728293657303,162.0606665611267,59.539615631103516,0.4621231257915497,0.0347110866662064,9.025724306893412,382.8238525390625
-419.6305847167969,0.9945990443229675,14000,0.6059758067131042,586.1457603646572,56.54593095796488,0.2078222943842411,74.37484259219626,7,,0.9577399492263794,0.30447375774383545,56.54593095796488,814.4403686523438,815.6863403320312,0.8654553294181824,0.14215415716171265,118.0,118.21186440677967,118.0,-71.6734390258789,-392.58648681640625,0.027645293623209,188.23569250106812,91.97258758544922,0.4615388810634613,0.0320551061703711,9.011685410086047,395.4609375
-352.2472229003906,0.9875640273094177,16000,0.6087826490402222,687.398420697422,112.23105042481858,0.21367678090929984,74.24586763666741,8,,0.967962384223938,0.30103859305381775,112.23105042481858,839.9176025390625,842.5180053710938,0.8676695227622986,0.16058526933193207,135.0,117.61481481481482,135.0,-113.42805480957031,-327.97503662109375,0.09544845670461655,215.50020909309387,109.74559020996094,0.461815744638443,0.028447279136688073,8.781038698319765,919.3209228515625
-320.0579833984375,0.9818975925445557,18000,0.6101963520050049,618.799172163462,170.7980762350926,0.2035267448425293,74.11587020718561,9,,0.9711360931396484,0.29812541604042053,170.7980762350926,904.893798828125,907.3822631835938,0.8697166442871094,0.14748185873031616,153.0,117.19607843137256,153.0,-142.8924560546875,-295.99713134765625,0.11919496953487396,242.8629651069641,125.27330780029297,0.45750054717063904,0.0252455158307554,8.802964081814478,241.8477020263672
-311.0518798828125,0.9816902279853821,20000,0.6085511445999146,571.9284686095259,179.73210480644366,0.2070367294549942,73.934741298329,10,,0.9672036170959473,0.2961646616458893,179.73210480644366,932.6021728515625,934.647705078125,0.8739125728607178,0.17193500697612762,171.0,116.78947368421052,171.0,-164.82058715820312,-286.1399841308594,0.1625380665063858,270.50882506370544,136.8005828857422,0.44840267300605774,0.02028215165170889,8.711373961588839,314.8813781738281
